"","indicator_name","respondant_name","indicator_num","measure","value","cert_val_funct","vf.sentance","weight","cert_weight","sheet_name","weight.name","ind.axis.title"
"1","Anthropogenic damage","Liam Pl",14,30,70,"3","generally linear decline in condition, decline steepening once significant/critical area is impacted enough to decline functioning across whole wood",75,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"2","Anthropogenic damage","Liam Pl",14,40,60,"3","generally linear decline in condition, decline steepening once significant/critical area is impacted enough to decline functioning across whole wood",75,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"3","Anthropogenic damage","Chris R",14,100,0,"4","in some amounts some damage is tolerable; at greater percentages condition quickly drops off",66.6666666666667,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"4","Anthropogenic damage","Chris R",14,30,0,"4","in some amounts some damage is tolerable; at greater percentages condition quickly drops off",66.6666666666667,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"5","Anthropogenic damage","Martin Hu",14,75,0,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"6","Anthropogenic damage","Martin Hu",14,80,0,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"7","Anthropogenic damage","Martin Hu",14,85,0,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"8","Anthropogenic damage","Liam Pl",14,20,80,"3","generally linear decline in condition, decline steepening once significant/critical area is impacted enough to decline functioning across whole wood",75,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"9","Anthropogenic damage","Dave Bo",14,100,0,"5","Strongly links to overall condition. Issue for the WT in that it will highlight the increasing negative impact from visitors. And their dogs.",100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"10","Anthropogenic damage","Martin Hu",14,70,0,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"11","Anthropogenic damage","Chris R",14,20,10,"4","in some amounts some damage is tolerable; at greater percentages condition quickly drops off",66.6666666666667,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"12","Anthropogenic damage","Rhiannon Hoy",14,11,0,"3","Woodland condition decreases with increases in anthropogenic damage, 10% damage across the woodland reduces it's condition and above 10% is bad condition.",100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"13","Anthropogenic damage","Rhiannon Hoy",14,100,0,"3","Woodland condition decreases with increases in anthropogenic damage, 10% damage across the woodland reduces it's condition and above 10% is bad condition.",100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"14","Anthropogenic damage","Liam Pl",14,50,50,"3","generally linear decline in condition, decline steepening once significant/critical area is impacted enough to decline functioning across whole wood",75,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"15","Anthropogenic damage","Rhiannon Hoy",14,10,50,"3","Woodland condition decreases with increases in anthropogenic damage, 10% damage across the woodland reduces it's condition and above 10% is bad condition.",100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"16","Anthropogenic damage","Bob Epsom",14,0,100,"3","Woodland condition will deteriate quickly with anthropogenic damage",70,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"17","Anthropogenic damage","Chris R",14,5,90,"4","in some amounts some damage is tolerable; at greater percentages condition quickly drops off",66.6666666666667,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"18","Anthropogenic damage","Dave Bo",14,80,20,"5","Strongly links to overall condition. Issue for the WT in that it will highlight the increasing negative impact from visitors. And their dogs.",100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
