"per_spp","value"
0,0
1,2.581386352
2,5.28645827533333
3,8.235150745
4,11.5563862766667
5,15.3101039966667
6,19.53410887
7,24.27736864
8,29.4873865866667
9,35.02515318
10,40.7447368233333
11,46.4995480566667
12,52.18216142
13,57.68890613
14,62.9349704233333
15,67.86400951
16,72.4287838333333
17,76.6077391166667
18,80.38243299
19,83.73895987
20,86.6898915033333
21,89.2403824
22,91.40322849
23,93.2173999933333
24,94.71006233
25,95.9249982666667
26,96.9368590766667
27,97.80860121
28,98.5882683133333
29,99.30947308
30,100
31,100
32,100
33,100
34,100
35,100
36,100
37,100
38,100
39,100
40,100
41,100
42,100
43,100
44,100
45,100
46,100
47,100
48,100
49,100
50,100
51,100
52,100
53,100
54,100
55,100
56,100
57,100
58,100
59,100
60,100
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,100
76,100
77,100
78,100
79,100
80,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
