"Proportion of microhabitats present","value"
0,0
1,0.434185126160031
2,0.874776545485838
3,1.32818001411294
4,1.80080016629057
5,2.29903981347126
6,2.82929906677312
7,3.39797420931277
8,4.01145623241533
9,4.67612893415817
10,5.39836646014874
11,6.18453014496431
12,7.03994802268991
13,7.96424128989499
14,8.95503702435372
15,10.0099430420076
16,11.1265486928905
17,12.302423881841
18,13.5351183269437
19,14.8221610787489
20,16.1610603192021
21,17.5493034551131
22,18.9843575168987
23,20.4639842895628
24,21.9884186931147
25,23.55904798291
26,25.1772210698042
27,26.8442364651556
28,28.5613372125761
29,30.3297054524623
30,32.1504566102142
31,34.0246332017269
32,35.953198252958
33,37.9370283341761
34,39.9763438451634
35,42.0647596397337
36,44.1917140736989
37,46.346670423801
38,48.5192122680847
39,50.6990678338762
40,52.8761331946554
41,55.0404936574095
42,57.1824427054411
43,59.2924979019213
44,61.3614132143074
45,63.3804019937485
46,65.3447525738367
47,67.2531990765636
48,69.104652608275
49,70.8980867646482
50,72.6325333946967
51,74.3070780721928
52,75.9208553024759
53,77.4730434917952
54,78.9628597052564
55,80.3895542381499
56,81.7524599994428
57,83.0525889870554
58,84.2928408611408
59,85.4761601328229
60,86.6054294809138
61,87.6834713519149
62,88.7130498079761
63,89.6968725631708
64,90.6375931552613
65,91.537813206274
66,92.4000847307218
67,93.2268789598134
68,94.0186208009367
69,94.7726321429192
70,95.4860025744411
71,96.1558523722367
72,96.779325770794
73,97.3535835698508
74,97.8757950903117
75,98.3431294910405
76,98.7527464607259
77,99.1017863008009
78,99.3873777021277
79,99.6095737444803
80,99.7745779624662
81,99.8892978444968
82,99.960579112425
83,99.9952228134651
84,100
85,100
86,100
87,100
88,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
