"Proportion of appropriate Tree & Shrub Species","value"
0,0
0.6,0.656066765127458
1.2,1.31480953340624
1.8,1.9788845240969
2.4,2.65094724967084
3,3.33365197220298
3.6,4.02965111898002
4.2,4.74159464165218
4.8,5.47212930237113
5.4,6.22389786926795
6,6.99953820232392
6.6,7.80168220919397
7.2,8.6327958021483
7.8,9.4944479778389
8.4,10.3878903489469
9,11.3143648733333
9.6,12.2751029269405
10.2,13.2713239372884
10.8,14.3042338779576
11.4,15.3750236138195
12,16.4848670865205
12.6,17.6349193295309
13.2,18.8263143019609
13.8,20.0599257158414
14.4,21.3347237271137
15,22.6487654922618
15.6,24.0000887886763
16.2,25.3867182851904
16.8,26.8066664692768
17.4,28.2579347571525
18,29.7385147821734
18.6,31.2463898550211
19.2,32.7795365873837
19.8,34.3359266691188
20.4,35.9134752073292
21,37.5094756412815
21.6,39.1208302881418
22.2,40.7444512393092
22.8,42.3772709262454
23.4,44.0162459762004
24,45.658361026656
24.6,47.3006324534264
25.2,48.9401119678189
25.8,50.573890039255
26.4,52.1990991012697
27,53.812934492451
27.6,55.4129605203015
28.2,56.9970629072774
28.8,58.5631778713034
29.4,60.1092841355875
30,61.6334039133087
30.6,63.1336036072554
31.2,64.6079942145946
31.8,66.054731429123
32.4,67.4720154354826
33,68.8580903918926
33.6,70.2112641341206
34.2,71.530506071805
34.8,72.815528111433
35.4,74.0660965049731
36,75.2819903839476
36.6,76.4630005615425
37.2,77.608928317171
37.8,78.7195841662485
38.4,79.7947866177488
39,80.8343609219309
39.6,81.8381378104344
40.2,82.8059579130431
40.8,83.7380043065805
41.4,84.6349807561235
42,85.4976235521164
42.6,86.3266556763753
43.2,87.1227866717803
43.8,87.8867125677979
44.4,88.619115856918
45,89.3206655174056
45.6,89.9920170780685
46.2,90.6338127210345
46.8,91.2466829607782
47.4,91.8314949205781
48,92.38962226452
48.6,92.9224836727682
49.2,93.4314776953298
49.8,93.9179838847846
50.4,94.3833638949488
51,94.8289625401837
51.6,95.2561088106643
52.2,95.6661168394606
52.8,96.0602868177586
53.4,96.4399058422696
54,96.8062360985724
54.6,97.1604920620756
55.2,97.503871232761
55.8,97.8375612437158
56.4,98.1627403909533
57,98.4805781018689
57.6,98.792235341035
58.2,99.0988649521767
58.8,99.401611935288
59.4,99.7016136579507
60,100
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,100
76,100
77,100
78,100
79,100
80,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,100
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
