"Indicator","Weight (scaled to max 100)"
"Tree age distribution",84.9162011173184
"Native canopy percentage ",88.8268156424581
"Vertical structure",89.3854748603352
"N tree & shrub spp.",83.7988826815643
"Invasive plants % cover",86.5921787709497
"Deadwood",100
"Veteran trees",89.3854748603352
"Woodland extent",64.804469273743
"Regen",89.3854748603352
"Herbivore damage",92.1787709497207
"Tree health",70.9497206703911
"Ground flora",85.4748603351955
"Horizontal complexity",89.3854748603352
"Anthropogenic damage",55.8659217877095
"Microhabitats",100
